Customer_rating,Cost_of_the_Product,Weight_in_gms,order_id,supplier_id,supplier_rating,supplier_lead_time,order_date,promised_delivery_date,actual_delivery_date,shipping_distance_km,unit_price,total_order_value,weather_condition,region,holiday_period,previous_on_time_rate,carrier_name,delayed_reason_code,on_time_delivery,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Cost_to_Weight_Ratio
-1.4154677378875808,1.0566311421722894,0.3223646544887539,ORD07921,SUP_005,0.9699404689382237,-1.2973359839230596,2025-02-16,2025-02-20,2025-02-23,-0.8338542161462615,-1.082066663155678,-0.6189680242905095,Rainy,South,No,-1.5949601883069036,LocalTruckers,Customs,-0.7660515560158475,True,False,False,True,-0.2947029568709526
0.0018523902117447988,-1.0037832644999212,-1.2069289827397653,ORD01530,SUP_014,0.8449454636971505,-0.4335470022447817,2025-04-08,2025-04-15,2025-04-16,-0.35429356885970964,1.054613634464729,-1.129838240116489,Clear,North,Yes,1.363418344577004,DHL,Traffic,-0.7660515560158475,False,True,True,False,0.32826549158258495
-0.706807673837918,0.22414047280978006,0.5108490243432493,ORD10522,SUP_010,-1.4466296323891967,-1.5852656444824855,2025-12-25,2025-12-28,2026-01-02,-0.5754931294162373,1.3958588866992006,-0.8253802327050467,Storm,East,Yes,-0.8201467630277848,LocalTruckers,Customs,-0.7660515560158475,False,True,False,True,-0.5319969496248994
1.4191725183110704,-1.107844598170235,0.6173304540662434,ORD09559,SUP_011,0.6088437871306784,-1.5852656444824855,2025-11-10,2025-11-13,2025-11-17,0.024400078813065707,1.2503532969139437,-0.3454718481412476,Rainy,South,No,1.5747310969258548,LocalTruckers,Weather,-0.7660515560158475,False,True,False,True,-0.8115006111910226
1.4191725183110704,1.2855660762469796,0.004144289799346174,ORD00969,SUP_002,0.2616354392388076,1.0061013005523483,2025-05-16,2025-05-28,2025-05-29,-0.653355374732135,1.3603485939539888,-0.5622046669765117,Storm,West,Yes,1.011230423995587,FedEx,Customs,-0.7660515560158475,False,False,True,False,-0.08044564337901686
1.4191725183110704,0.9109452750338503,0.15529896302681487,ORD02734,SUP_005,1.4976971577338674,-0.4335470022447817,2025-01-22,2025-01-29,2025-02-01,-0.821467040755096,-1.7325112936838196,0.0002686009531022828,Storm,East,No,0.09554183048390102,LocalTruckers,Weather,-0.7660515560158475,True,False,True,False,-0.24810167382859874
1.4191725183110704,0.7444471411613484,-0.7308223601852283,ORD00056,SUP_008,-1.4327412984735224,1.0061013005523483,2025-04-24,2025-05-06,2025-05-08,0.6083669186822988,1.485933775613883,1.2077800201781452,Clear,South,Yes,1.5747310969258548,LocalTruckers,Weather,-0.7660515560158475,False,True,True,False,0.38711041840631455
-0.706807673837918,0.22414047280978006,-0.32692728192559534,ORD01267,SUP_010,0.6782854567090523,-0.14561734168535573,2025-09-17,2025-09-25,2025-09-30,-1.6000894939140733,0.9809947348709983,-0.8253802327050467,Rainy,South,Yes,1.4338559286932875,FedEx,Weather,-0.7660515560158475,False,True,True,False,-0.1412977579670146
-0.706807673837918,-1.5865267330536779,-1.3948013903544734,ORD00236,SUP_009,-1.6688429750399945,-0.14561734168535573,2025-01-09,2025-01-17,2025-01-15,-1.0833673204540248,0.49684220695457826,-0.9285863369123153,Rainy,West,No,-0.4679588424463669,FedEx,Weather,1.3053951684412644,False,True,True,False,0.3544004738639029
0.7105124542614076,-1.1910936651064858,1.3382219725357094,ORD07046,SUP_013,1.136600475926322,-0.4335470022447817,2025-12-11,2025-12-18,2025-12-16,1.1357066710490606,1.6721462863509675,0.00800905876864743,Rainy,West,Yes,0.7294800875304525,FedEx,Weather,1.3053951684412644,False,True,False,True,-0.9461462328176001
